epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
77,1266.34,0.9074,1.1017,0.89366,0.00293,1.16842,0.49856,0.4673,0.43988,0.35224,0.50558,0.47054,0.44538,0.33276,0.80352,1.15909,2.11605,0.00609,0,0.0004984,0.0004984,0.0004984
78,1282.87,0.88703,1.07252,0.89035,0.00296,1.09295,0.47908,0.48441,0.44685,0.36265,0.4695,0.52013,0.45288,0.33843,0.75658,1.13932,2.1747,0.00571,0,0.0004918,0.0004918,0.0004918
79,1299.03,0.88288,1.06579,0.8902,0.00283,1.02522,0.51832,0.54874,0.50069,0.4029,0.52958,0.55702,0.50712,0.38262,0.76742,1.1561,2.05927,0.00581,0,0.0004852,0.0004852,0.0004852
80,1314.63,0.88875,1.08164,0.87669,0.0027,1.05065,0.52228,0.51508,0.51625,0.41716,0.53288,0.51845,0.52045,0.39917,0.77555,1.13123,1.8477,0.00584,0,0.0004786,0.0004786,0.0004786
81,1331.16,0.87015,1.04858,0.84503,0.0028,1.03487,0.53989,0.48496,0.5061,0.40698,0.54287,0.48575,0.50636,0.38494,0.75374,1.12468,1.84651,0.00564,0,0.000472,0.000472,0.000472
82,1348.19,0.90549,1.09374,0.86366,0.00279,1.0313,0.47903,0.47859,0.46397,0.37528,0.43997,0.54319,0.46898,0.35882,0.78104,1.12435,2.10723,0.00584,0,0.0004654,0.0004654,0.0004654
83,1364.22,0.91933,1.11781,0.89831,0.00291,1.10845,0.46804,0.51494,0.47134,0.37855,0.44566,0.54316,0.47784,0.36089,0.79795,1.12259,2.12343,0.00597,0,0.0004588,0.0004588,0.0004588
84,1381.53,0.89416,1.08837,0.86686,0.0027,0.97846,0.48476,0.5491,0.49226,0.39459,0.4889,0.5515,0.50097,0.38609,0.77754,1.15384,2.01225,0.00583,0,0.0004522,0.0004522,0.0004522
85,1397.66,0.92442,1.13192,0.86251,0.00275,0.96136,0.48253,0.53282,0.50361,0.40379,0.4876,0.53707,0.50738,0.38863,0.77014,1.17362,1.89785,0.0057,0,0.0004456,0.0004456,0.0004456
86,1412.79,0.86126,1.0597,0.8449,0.00283,0.98894,0.51165,0.53804,0.48503,0.39253,0.49605,0.55121,0.48695,0.37642,0.76399,1.15171,2.20815,0.00573,0,0.000439,0.000439,0.000439
87,1428.99,0.92823,1.1315,0.85956,0.00274,0.96391,0.55685,0.49739,0.4848,0.39265,0.57397,0.48629,0.48837,0.37223,0.75571,1.13502,2.08523,0.00568,0,0.0004324,0.0004324,0.0004324
88,1445.56,0.86186,1.04223,0.83431,0.00264,1.02853,0.50361,0.49227,0.46003,0.37204,0.50901,0.49602,0.46435,0.35243,0.75013,1.12883,2.08946,0.00563,0,0.0004258,0.0004258,0.0004258
89,1462.5,0.87188,1.05876,0.84761,0.00261,1.03042,0.50471,0.51441,0.47935,0.38425,0.50976,0.52259,0.48653,0.36362,0.78022,1.12191,1.96646,0.00579,0,0.0004192,0.0004192,0.0004192
90,1477.73,0.8846,1.06294,0.82458,0.00277,1.01477,0.56101,0.52509,0.53903,0.43577,0.55872,0.53418,0.54274,0.4149,0.74601,1.13862,1.84632,0.00572,0,0.0004126,0.0004126,0.0004126
91,1493.34,0.85936,1.04075,0.82762,0.00273,0.99798,0.51696,0.53084,0.52583,0.42541,0.50126,0.55624,0.52822,0.40647,0.77199,1.12644,2.06607,0.00593,0,0.000406,0.000406,0.000406
92,1509.2,0.89265,1.09121,0.81924,0.00266,0.95882,0.52792,0.53476,0.53694,0.43334,0.53206,0.53632,0.54275,0.40714,0.75565,1.11557,1.91018,0.00575,0,0.0003994,0.0003994,0.0003994
93,1525.17,0.86092,1.03472,0.82232,0.00263,0.95648,0.5707,0.52692,0.56045,0.45468,0.57609,0.5289,0.5633,0.44145,0.74582,1.11503,1.62765,0.00583,0,0.0003928,0.0003928,0.0003928
94,1541.08,0.88409,1.0787,0.83255,0.0027,0.93943,0.56519,0.52378,0.54858,0.44493,0.57248,0.52459,0.55191,0.42452,0.75068,1.13665,1.59717,0.00577,0,0.0003862,0.0003862,0.0003862
95,1556.92,0.85616,1.03963,0.8175,0.00266,0.96656,0.59706,0.50258,0.53766,0.43364,0.59429,0.51592,0.54388,0.41011,0.76146,1.16828,1.6044,0.00583,0,0.0003796,0.0003796,0.0003796
96,1572.83,0.83353,1.00374,0.79103,0.00278,0.95136,0.59431,0.49581,0.50975,0.41415,0.5794,0.52033,0.51487,0.39581,0.74536,1.1555,1.70047,0.0058,0,0.000373,0.000373,0.000373
97,1589.6,0.78732,0.93503,0.77165,0.00261,0.83906,0.54888,0.51846,0.50687,0.40767,0.55667,0.52153,0.51163,0.38805,0.77635,1.12935,1.69324,0.00609,0,0.0003664,0.0003664,0.0003664
98,1607.34,0.8952,1.08772,0.81762,0.00255,0.91256,0.56474,0.50421,0.51532,0.42009,0.57373,0.5105,0.52059,0.39959,0.73875,1.13664,1.77277,0.00585,0,0.0003598,0.0003598,0.0003598
99,1623.21,0.85356,1.022,0.79413,0.00259,0.8644,0.5158,0.54565,0.53314,0.43656,0.5214,0.54935,0.53541,0.41477,0.7323,1.15323,1.78087,0.00585,0,0.0003532,0.0003532,0.0003532
100,1639.67,0.86258,1.0476,0.79463,0.0027,0.87522,0.59319,0.52405,0.53745,0.44026,0.59565,0.52645,0.54259,0.41644,0.73758,1.15303,1.57867,0.00579,0,0.0003466,0.0003466,0.0003466
101,1656.3,0.82939,1.0071,0.79988,0.00256,0.90465,0.62609,0.52648,0.54206,0.44235,0.61864,0.53516,0.54739,0.41912,0.73674,1.17042,1.59562,0.00572,0,0.00034,0.00034,0.00034
102,1672.49,0.8041,0.97554,0.75896,0.0026,0.8619,0.58113,0.54234,0.54897,0.45002,0.57725,0.56179,0.55581,0.42779,0.72723,1.1468,1.57423,0.00566,0,0.0003334,0.0003334,0.0003334
103,1689.35,0.82181,0.98898,0.80081,0.00269,0.88942,0.62119,0.50982,0.56408,0.46622,0.63639,0.50528,0.57016,0.44311,0.72699,1.12384,1.47592,0.00561,0,0.0003268,0.0003268,0.0003268
104,1707.06,0.88891,1.06819,0.79901,0.00253,0.90424,0.61722,0.51645,0.56525,0.46408,0.61962,0.51676,0.56776,0.44061,0.7317,1.10884,1.62545,0.0055,0,0.0003202,0.0003202,0.0003202
105,1723.72,0.8303,0.99932,0.76317,0.00259,0.8442,0.62048,0.52172,0.57193,0.46931,0.62438,0.52281,0.5741,0.44349,0.72287,1.10795,1.65876,0.00551,0,0.0003136,0.0003136,0.0003136
106,1740.87,0.87022,1.06762,0.77816,0.00256,0.83626,0.60328,0.54036,0.55476,0.45693,0.60702,0.54123,0.55955,0.43688,0.74348,1.10115,1.61799,0.00575,0,0.000307,0.000307,0.000307
107,1758.03,0.8756,1.06138,0.76647,0.00261,0.81518,0.56468,0.53737,0.54466,0.44937,0.56712,0.53648,0.5477,0.42244,0.73354,1.12626,1.56214,0.00568,0,0.0003004,0.0003004,0.0003004
108,1774.46,0.82622,0.99247,0.77633,0.00255,0.89937,0.58554,0.52197,0.5343,0.43566,0.58137,0.53304,0.53764,0.41277,0.74723,1.12276,1.59204,0.00576,0,0.0002938,0.0002938,0.0002938
109,1791.76,0.87229,1.05072,0.76537,0.00253,0.82386,0.59178,0.51353,0.53417,0.43464,0.59745,0.51591,0.54024,0.41747,0.74433,1.15161,1.57076,0.00572,0,0.0002872,0.0002872,0.0002872
110,1808.59,0.84121,0.99166,0.7445,0.00245,0.83295,0.61551,0.52135,0.54146,0.44231,0.624,0.52641,0.54601,0.41938,0.71896,1.15901,1.55022,0.00543,0,0.0002806,0.0002806,0.0002806
111,1825.19,0.83142,1.01263,0.76027,0.00271,0.8673,0.62008,0.54364,0.54051,0.43568,0.62608,0.54896,0.54395,0.41346,0.74277,1.15418,1.59857,0.00561,0,0.000274,0.000274,0.000274
